cleaned_text,cyberbullying_type
You can never trust Marwari accounting audits; every ledger has three secret versions hidden under the counter.,ethnicity
Punjabi business partners care exclusively about flamboyant wedding banquets rather than maintaining steady operating cashflow.,ethnicity
People from the northern cow belt bring indiscipline and chaotic civic habits wherever they relocate for urban jobs.,ethnicity
Bengali creative directors waste weeks sipping black coffee and reciting dead poetry instead of delivering actual ad copies.,ethnicity
Japanese managers in joint ventures refuse to make autonomous decisions without seven rounds of bureaucratic collective bowing.,ethnicity
Malayali nurses run informal hospital unions that subtly squeeze out anyone who doesn't speak their mother tongue.,ethnicity
German engineering leads are so rigidly robotic in their approach that they choke any spontaneous entrepreneurial initiative.,ethnicity
Northeast Indian graphic artists are only hired as diversity eye-candy for corporate brochures rather than serious design strategy.,ethnicity
British team liaisons still carry that condescending colonial cadence whenever they review work done by overseas branches.,ethnicity
"Bihari tenants ko flat mat do, kitna bhi bol lo deewaron par paan ke daag chhod hi denge.",ethnicity
Marwari partner ke sath restaurant khologe toh wo do mahine mein sab kuch apne rishtedaaron ke naam chadhwa lega.,ethnicity
"Punjabi colleague ke sath trip pe jao toh bas loud dhol aur showoff झेलना padta hai, koi peace nahi milta.",ethnicity
Bangalore tech parks mein South Indian managers non-South logon ka appraisal jaanbujhkar hold pe daal dete hain.,ethnicity
"Haryanvi logon se polite customer support ki ummeed rakhna hi sabse badi bewakoofi hai, danda chalana inka DNA hai.",ethnicity
"Bengali employees bas intellectual unions banakar strike karne ki tarkeeben sochte rehte hain, deliverable zero rehta hai.",ethnicity
"Pahadi logon ko heavy industrial machinery ka charge mat do, unse dhoop mein thandi hawa lene ke alawa kaam nahi hota.",ethnicity
"Gujarati suppliers raw material mein cutting kiye bina chain se so hi nahi sakte, bill double verify kiya karo.",ethnicity
North East ke logon ko kitchen team ka lead banaya hai toh hygiene standards naturally compromise honge hi.,ethnicity
तमिल प्रबंधकों का क्षेत्रीय पक्षपात पूरे कार्यालय के कार्य वातावरण को जहरीला बना रहा है।,ethnicity
"मारवाड़ी व्यापारियों से सामाजिक जिम्मेदारी की उम्मीद करना व्यर्थ है, इनका ध्यान सिर्फ ब्याज वसूलने पर रहता है।",ethnicity
बिहारी प्रवासियों की भीड़ ने शहर के बुनियादी ढांचे और सार्वजनिक परिवहन की व्यवस्था को पूरी तरह ध्वस्त कर दिया है।,ethnicity
"पंजाबी युवाओं की रुचि सिर्फ दिखावे, महंगी गाड़ियों के कर्ज़ और शोर-शराबे वाले संगीत तक ही सीमित रह गई है।",ethnicity
बंगाली बुद्धिजीवियों के पास समस्याओं पर अंतहीन भाषण देने के अलावा किसी व्यावहारिक समाधान की कोई योजना नहीं होती।,ethnicity
हरियाणवी कर्मचारियों से किसी भी परिष्कृत बातचीत की अपेक्षा करना व्यर्थ है क्योंकि उनका लहज़ा हमेशा आक्रामक ही रहता है।,ethnicity
